# ----------------------------------------
# 보고서 CSV 내보내기
# 계정: skinno global
# 속성: skinno 글로벌 - GA4
# ----------------------------------------
# 
# 모든 사용자
# 시작일: 20241028
# 종료일: 20241103
페이지 경로 및 화면 클래스,국가,조회수,세션수,활성 사용자,활성 사용자당 조회수,활성 사용자당 평균 참여 시간,이벤트 수,주요 이벤트,총수익
/global/archives/19421,Germany,8,8,5,1.6,6.6,33,0,0
/global/archives/category/corporates/sk-enmove,South Korea,8,3,2,4,33,32,0,0
/global/archives/category/press-room/press-release,Singapore,8,7,7,1.1428571428571428,16.857142857142858,31,0,0
/global/archives/tag/sustainability-report,United States,8,8,8,1,3,40,0,0
/global/,Germany,7,4,4,1.75,18.75,39,0,0
/global/,Singapore,7,11,8,0.875,6.75,38,0,0
/global/archives/10939,Singapore,7,7,4,1.75,32.75,28,0,0
/global/archives/11004,South Korea,7,5,3,2.3333333333333335,50.333333333333336,29,0,0
/global/archives/13544,United States,7,6,5,1.4,46.4,29,0,0
/global/archives/16286,United States,7,7,7,1,0,28,0,0
/global/archives/17356,Hong Kong,7,5,3,2.3333333333333335,12.333333333333334,19,0,0
/global/archives/18608,South Korea,7,7,7,1,23.428571428571427,32,0,0
/global/archives/18608,Taiwan,7,5,3,2.3333333333333335,36.666666666666664,26,0,0
/global/archives/19045,Malaysia,7,8,7,1,83,34,0,0
/global/archives/19045,Vietnam,7,7,4,1.75,0.25,24,0,0
/global/archives/19078,Japan,7,8,3,2.3333333333333335,185.66666666666666,30,0,0
/global/archives/6313,United Kingdom,7,2,1,7,9,23,0,0
/global/archives/9910,Malaysia,7,7,6,1.1666666666666667,61.333333333333336,34,0,0
/global/archives/category/corporates,South Korea,7,7,4,1.75,9.25,27,0,0
/global/archives/category/press-room,Singapore,7,6,3,2.3333333333333335,16.666666666666668,28,0,0
/global/archives/category/press-room/financial-results,Indonesia,7,2,2,3.5,57.5,24,0,0
/global/archives/category/press-room/financial-results,Japan,7,7,1,7,55,27,0,0
/global/archives/tag/sustainability,United States,7,7,7,1,4,35,0,0
/global/archives/11004,Thailand,6,5,5,1.2,79.6,25,0,0
/global/archives/12293,Vietnam,6,1,1,6,30,22,0,0
/global/archives/13130,Vietnam,6,3,2,3,73,23,0,0
/global/archives/13780,Singapore,6,5,2,3,74,22,0,0
/global/archives/15490,South Korea,6,6,4,1.5,9.25,29,0,0
/global/archives/15664,United Kingdom,6,9,5,1.2,65,34,0,0
/global/archives/16834,Singapore,6,3,1,6,47,23,0,0
/global/archives/17737,South Korea,6,8,5,1.2,12.4,32,0,0
/global/archives/18107,United States,6,7,6,1,97,31,0,0
/global/archives/18546,India,6,8,6,1,25,32,0,0
/global/archives/19045,South Korea,6,7,3,2,14,21,0,0
/global/archives/19179,India,6,7,3,2,59.333333333333336,26,0,0
/global/archives/19179,Japan,6,10,5,1.2,0,31,0,0
/global/archives/19268,Germany,6,5,2,3,0,18,0,0
/global/archives/19421,India,6,6,5,1.2,52.6,23,0,0
/global/archives/19421,Indonesia,6,6,5,1.2,51.4,30,0,0
/global/archives/7906,United States,6,4,4,1.5,54.5,25,0,0
/global/archives/category/corporates,United States,6,5,5,1.2,5.8,22,0,0
/global/archives/category/corporates/sk-rading-international,South Korea,6,4,4,1.5,22,26,0,0
/global/archives/category/press-room/press-release,United States,6,6,4,1.5,37,24,0,0
/global/archives/tag/hungary,Spain,6,1,1,6,112,23,0,0
/global/,Czechia,5,1,1,5,19,32,0,0
/global/,Pakistan,5,1,1,5,87,20,0,0
/global/,Taiwan,5,3,3,1.6666666666666667,25.666666666666668,19,0,0
/global/archives/10985,Vietnam,5,2,2,2.5,52.5,19,0,0
/global/archives/12036,Vietnam,5,5,1,5,0,19,0,0
/global/archives/13780,Belgium,5,3,2,2.5,66.5,20,0,0
/global/archives/14415,South Korea,5,3,2,2.5,117,20,0,0
/global/archives/15374,Singapore,5,4,4,1.25,35.25,19,0,0
/global/archives/16834,United States,5,5,4,1.25,39.5,19,0,0
/global/archives/17499,South Korea,5,5,3,1.6666666666666667,21.333333333333332,23,0,0
/global/archives/17595,Sweden,5,4,3,1.6666666666666667,13.333333333333334,14,0,0
/global/archives/17623,India,5,4,4,1.25,0.5,18,0,0
/global/archives/18608,United States,5,5,2,2.5,14,19,0,0
/global/archives/19078,Thailand,5,8,5,1,25.8,26,0,0
/global/archives/19149,Poland,5,6,5,1,5.4,22,0,0
/global/archives/19154,Singapore,5,4,3,1.6666666666666667,27.333333333333332,18,0,0
/global/archives/19154,South Korea,5,3,3,1.6666666666666667,92.66666666666667,20,0,0
/global/archives/19179,Chile,5,5,2,2.5,0.5,15,0,0
/global/archives/19268,Canada,5,5,5,1,7.8,23,0,0
/global/archives/19393,China,5,5,5,1,96.8,14,0,0
/global/archives/4776,China,5,4,4,1.25,28.5,20,0,0
/global/archives/category/ces/ces-2023,Sweden,5,1,1,5,53,15,0,0
/global/archives/category/corporates/sk-energy,South Korea,5,5,5,1,6,17,0,0
/global/archives/category/corporates/sk-enmove,Russia,5,2,1,5,109,18,0,0
/global/archives/category/people,United States,5,5,5,1,13,17,0,0
/global/archives/category/press-room,Germany,5,1,1,5,70,20,0,0
/global/archives/category/press-room,United States,5,4,4,1.25,75.5,17,0,0
/global/archives/category/press-room/financial-results,China,5,7,3,1.6666666666666667,9.666666666666666,21,0,0
/global/archives/tag/lithium-ion-batteries,South Korea,5,1,1,5,34,20,0,0
/global/archives/tag/yubase,United Arab Emirates,5,3,2,2.5,25.5,16,0,0
/global/latestnews,India,5,6,3,1.6666666666666667,12.333333333333334,21,0,0
/global/,France,4,4,3,1.3333333333333333,7,26,0,0
/global/,Hong Kong,4,5,3,1.3333333333333333,20,47,0,0
/global/,Malaysia,4,2,2,2,41,18,0,0
/global/archives/10774,United States,4,4,4,1,28.75,21,0,0
/global/archives/11527,Vietnam,4,1,1,4,24,15,0,0
/global/archives/12306,Sweden,4,1,1,4,84,14,0,0
/global/archives/12306,Vietnam,4,1,1,4,40,14,0,0
/global/archives/13329,United States,4,4,4,1,15.25,16,0,0
/global/archives/14309,United States,4,4,4,1,0,16,0,0
/global/archives/14491,United States,4,5,4,1,0.5,19,0,0
/global/archives/15374,South Korea,4,6,3,1.3333333333333333,53.666666666666664,20,0,0
/global/archives/15490,Germany,4,5,3,1.3333333333333333,55.666666666666664,19,0,0
/global/archives/15687,Russia,4,2,1,4,791,15,0,0
/global/archives/16448,South Korea,4,4,2,2,54,18,0,0
/global/archives/16463,United States,4,5,4,1,5.5,20,0,0
/global/archives/17047,United States,4,5,4,1,1.75,19,0,0
/global/archives/17169,Hong Kong,4,5,3,1.3333333333333333,45,15,0,0
/global/archives/17169,Japan,4,3,3,1.3333333333333333,21,20,0,0
/global/archives/17356,France,4,4,4,1,16,19,0,0
/global/archives/17386,United States,4,3,1,4,3,11,0,0
/global/archives/17426,China,4,4,3,1.3333333333333333,11.666666666666666,16,0,0
/global/archives/17426,Singapore,4,5,3,1.3333333333333333,67,14,0,0
/global/archives/17426,Vietnam,4,4,3,1.3333333333333333,13,15,0,0
/global/archives/17476,South Korea,4,3,3,1.3333333333333333,88.66666666666667,17,0,0
/global/archives/17499,United States,4,4,4,1,35.5,17,0,0
/global/archives/18107,United Kingdom,4,4,4,1,54.5,21,0,0
/global/archives/18283,United Kingdom,4,2,1,4,238,15,0,0
/global/archives/18546,Colombia,4,2,1,4,77,18,0,0
/global/archives/18770,Hong Kong,4,3,3,1.3333333333333333,21,18,0,0
/global/archives/18770,United States,4,5,4,1,12.75,15,0,0
/global/archives/19045,Singapore,4,3,3,1.3333333333333333,82.33333333333333,17,0,0
/global/archives/19179,(not set),4,4,4,1,0,16,0,0
/global/archives/19268,Indonesia,4,4,3,1.3333333333333333,5.333333333333333,14,0,0
/global/archives/19349,South Korea,4,4,4,1,17.5,13,0,0
/global/archives/19393,Germany,4,4,4,1,23.5,16,0,0
/global/archives/19393,Japan,4,4,3,1.3333333333333333,49.666666666666664,17,0,0
/global/archives/19393,Malaysia,4,3,3,1.3333333333333333,0,15,0,0
/global/archives/19393,Taiwan,4,4,3,1.3333333333333333,21,19,0,0
/global/archives/4308,South Korea,4,2,2,2,31,13,0,0
/global/archives/4499,Pakistan,4,3,3,1.3333333333333333,8.666666666666666,17,0,0
/global/archives/489,Singapore,4,5,3,1.3333333333333333,20.666666666666668,20,0,0
/global/archives/9910,South Korea,4,3,3,1.3333333333333333,37.333333333333336,17,0,0
/global/archives/category/corporates,Malaysia,4,1,1,4,180,16,0,0
/global/archives/category/corporates/sk-earthon,Malaysia,4,1,1,4,57,16,0,0
/global/archives/category/corporates/sk-geo-centric,Spain,4,1,1,4,44,15,0,0
/global/archives/category/corporates/sk-on,China,4,4,2,2,490.5,13,0,0
/global/archives/category/insight,United States,4,5,4,1,4.5,15,0,0
/global/archives/category/press-room/press-release,China,4,4,1,4,19,13,0,0
/global/latestnews,Singapore,4,4,2,2,126.5,16,0,0
/global/,Vietnam,3,3,3,1,12.333333333333334,11,0,0
/global/archives/10654,South Korea,3,3,2,1.5,43,12,0,0
/global/archives/10654,United States,3,3,3,1,65.33333333333333,15,0,0
/global/archives/10774,South Korea,3,4,3,1,3.3333333333333335,17,0,0
/global/archives/11147,United States,3,3,3,1,15.333333333333334,16,0,0
/global/archives/11400,China,3,1,1,3,91,12,0,0
/global/archives/12106,South Korea,3,3,1,3,5,11,0,0
/global/archives/12667,Sweden,3,2,2,1.5,134.5,11,0,0
/global/archives/13329,Australia,3,1,1,3,38,11,0,0
/global/archives/13329,Hong Kong,3,3,2,1.5,10.5,12,0,0
/global/archives/13595,South Korea,3,4,3,1,23.333333333333332,14,0,0
/global/archives/13780,South Korea,3,3,1,3,33,11,0,0
/global/archives/13932,Taiwan,3,1,1,3,44,11,0,0
/global/archives/14491,India,3,1,1,3,19,13,0,0
/global/archives/14766,United States,3,4,2,1.5,3.5,14,0,0
/global/archives/15259,United States,3,3,3,1,0,12,0,0
/global/archives/15374,Malaysia,3,3,3,1,39,14,0,0
/global/archives/15374,Thailand,3,2,2,1.5,13.5,13,0,0
/global/archives/15664,India,3,2,2,1.5,5,13,0,0
/global/archives/15664,South Korea,3,3,3,1,27,14,0,0
/global/archives/15687,Hong Kong,3,3,2,1.5,0,9,0,0
/global/archives/16493,India,3,4,2,1.5,23,13,0,0
/global/archives/17047,Latvia,3,1,1,3,67,8,0,0
/global/archives/17216,South Korea,3,3,3,1,41.666666666666664,14,0,0
/global/archives/17426,South Korea,3,3,3,1,63.666666666666664,15,0,0
/global/archives/17499,France,3,3,2,1.5,0,11,0,0
/global/archives/17499,Hong Kong,3,3,2,1.5,81,12,0,0
/global/archives/17623,Australia,3,3,1,3,3,12,0,0
/global/archives/17737,Japan,3,2,1,3,82,12,0,0
/global/archives/17817,United States,3,3,3,1,11.333333333333334,15,0,0
/global/archives/17844,South Korea,3,3,2,1.5,4.5,9,0,0
/global/archives/17863,United States,3,2,2,1.5,22,11,0,0
/global/archives/17893,United States,3,2,2,1.5,60.5,10,0,0
/global/archives/17950,United States,3,3,3,1,42.666666666666664,14,0,0
/global/archives/18022,Indonesia,3,3,2,1.5,9,13,0,0
/global/archives/18022,South Korea,3,3,2,1.5,34.5,15,0,0
/global/archives/18065,South Korea,3,4,3,1,45.333333333333336,10,0,0
/global/archives/18065,United States,3,3,3,1,0,12,0,0
/global/archives/18107,Indonesia,3,2,2,1.5,26,12,0,0
/global/archives/18140,India,3,3,2,1.5,0,11,0,0
/global/archives/18283,South Korea,3,2,2,1.5,22,13,0,0
/global/archives/18283,United States,3,3,2,1.5,28.5,10,0,0
/global/archives/18361,United States,3,3,3,1,83.33333333333333,15,0,0
/global/archives/18388,United States,3,3,3,1,9,14,0,0
/global/archives/18436,South Korea,3,2,1,3,53,11,0,0
/global/archives/18436,United States,3,3,3,1,22.666666666666668,14,0,0
/global/archives/18546,Indonesia,3,5,1,3,222,15,0,0
/global/archives/18546,Japan,3,3,2,1.5,18,13,0,0
/global/archives/18608,France,3,2,2,1.5,54.5,13,0,0
/global/archives/18608,Singapore,3,2,2,1.5,4.5,12,0,0
/global/archives/18659,(not set),3,3,3,1,0,12,0,0
/global/archives/18659,Australia,3,3,3,1,22.666666666666668,15,0,0
/global/archives/18770,India,3,3,3,1,7.333333333333333,12,0,0
/global/archives/19045,(not set),3,3,3,1,0,11,0,0
/global/archives/19078,(not set),3,3,3,1,0,12,0,0
/global/archives/19078,United States,3,3,3,1,17.666666666666668,14,0,0
/global/archives/19149,China,3,4,2,1.5,140,11,0,0
/global/archives/19154,United States,3,3,2,1.5,21.5,12,0,0
/global/archives/19179,Czechia,3,2,1,3,66,12,0,0
/global/archives/19230,Russia,3,3,1,3,104,15,0,0
/global/archives/19268,Hungary,3,3,1,3,0,7,0,0
/global/archives/19393,Indonesia,3,4,2,1.5,23,16,0,0
/global/archives/19393,Italy,3,3,3,1,9.666666666666666,11,0,0
/global/archives/19393,Netherlands,3,3,3,1,6,13,0,0
/global/archives/19421,Australia,3,3,3,1,3.6666666666666665,13,0,0
/global/archives/19421,Japan,3,3,2,1.5,124.5,12,0,0
/global/archives/2557,Singapore,3,1,1,3,38,11,0,0
/global/archives/3674,Singapore,3,2,1,3,0,9,0,0
/global/archives/7906,South Korea,3,4,3,1,6,14,0,0
/global/archives/8310,China,3,3,2,1.5,70.5,12,0,0
/global/archives/8899,South Korea,3,4,3,1,10.666666666666666,15,0,0
/global/archives/8914,Cambodia,3,1,1,3,46,10,0,0
/global/archives/9509,United States,3,3,1,3,0,12,0,0
/global/archives/9709,United States,3,3,3,1,12.333333333333334,13,0,0
/global/archives/9740,South Korea,3,3,3,1,4,14,0,0
/global/archives/9740,Vietnam,3,4,1,3,24,12,0,0
/global/archives/category/corporates,China,3,2,2,1.5,15.5,10,0,0
/global/archives/category/corporates/sk-earthon,Singapore,3,2,2,1.5,67.5,12,0,0
/global/archives/category/corporates/sk-energy,India,3,3,2,1.5,134.5,12,0,0
/global/archives/category/corporates/sk-enterm,United States,3,3,3,1,13.333333333333334,15,0,0
/global/archives/category/corporates/sk-geo-centric,United States,3,3,3,1,8.666666666666666,11,0,0
/global/archives/category/corporates/sk-on,Sweden,3,2,2,1.5,37,11,0,0
/global/archives/category/insight,South Korea,3,3,3,1,7.666666666666667,11,0,0
/global/archives/category/insight/expert-voice,South Korea,3,2,2,1.5,11,11,0,0
/global/archives/category/insight/expert-voice,United States,3,2,2,1.5,94,11,0,0
/global/archives/category/people/inno-people,South Korea,3,1,1,3,0,6,0,0
/global/archives/category/people/sustainability,Peru,3,1,1,3,25,12,0,0
/global/archives/category/press-room,Colombia,3,1,1,3,154,12,0,0
/global/archives/category/press-room,Malaysia,3,1,1,3,97,12,0,0
/global/archives/category/press-room/financial-results,Portugal,3,1,1,3,22,13,0,0
/global/archives/category/press-room/financial-results,United Kingdom,3,3,2,1.5,27,15,0,0
/global/archives/category/press-room/issue-fact,Singapore,3,4,2,1.5,14.5,12,0,0
/global/archives/tag/all-solid-state,South Korea,3,1,1,3,8,12,0,0
/global/archives/tag/batteries,South Korea,3,1,1,3,9,12,0,0
/global/archives/tag/f-150-lightning,South Korea,3,4,2,1.5,5.5,15,0,0
/global/archives/tag/green-bonds,China,3,1,1,3,24,8,0,0
/global/archives/tag/houston,United States,3,2,2,1.5,7.5,13,0,0
/global/archives/tag/lithium-ion-battery,Singapore,3,1,1,3,31,14,0,0
/global/archives/tag/northvolt,South Korea,3,3,3,1,3.6666666666666665,16,0,0
/global/archives/tag/oh-jong-hoon,Singapore,3,1,1,3,17,12,0,0
/global/archives/tag/sk-energy-americas,United States,3,1,1,3,35,14,0,0
/global/family-site-links,South Korea,3,3,3,1,8.666666666666666,19,0,0
/global/latestnews,Russia,3,2,1,3,83,13,0,0
/global/,Argentina,2,2,1,2,16,7,0,0
/global/,Canada,2,1,1,2,7,9,0,0
/global/,Mexico,2,2,2,1,10.5,19,0,0
/global/archives/10073,Spain,2,1,1,2,42,6,0,0
/global/archives/1058,South Korea,2,2,1,2,59,8,0,0
/global/archives/10610,South Korea,2,2,2,1,25,10,0,0
/global/archives/10610,United Kingdom,2,2,2,1,11.5,10,0,0
/global/archives/10610,United States,2,2,2,1,0,6,0,0
/global/archives/10713,South Korea,2,1,1,2,48,9,0,0
/global/archives/107411,South Korea,2,2,2,1,0.5,9,0,0
/global/archives/10802,United States,2,3,2,1,27.5,9,0,0
/global/archives/10835,South Korea,2,2,2,1,11,8,0,0
/global/archives/10835,Sweden,2,1,1,2,59,10,0,0
/global/archives/10835,United States,2,2,2,1,49,9,0,0
/global/archives/10842,United States,2,2,1,2,0,8,0,0
/global/archives/10939,South Korea,2,2,2,1,16.5,9,0,0
/global/archives/11087,India,2,2,2,1,33.5,7,0,0
/global/archives/11087,Kenya,2,2,1,2,0,6,0,0
/global/archives/11161,South Korea,2,1,1,2,15,8,0,0
/global/archives/114530,South Korea,2,1,1,2,1,9,0,0
/global/archives/11596,South Korea,2,2,2,1,27,11,0,0
/global/archives/11807,South Korea,2,2,2,1,50,10,0,0
/global/archives/11807,Taiwan,2,1,1,2,60,7,0,0
/global/archives/12008,South Korea,2,1,1,2,0,4,0,0
/global/archives/12022,Hong Kong,2,2,2,1,5,8,0,0
/global/archives/12022,Malaysia,2,2,2,1,0,8,0,0
/global/archives/12072,United States,2,3,2,1,18.5,12,0,0
/global/archives/12106,United States,2,2,1,2,78,9,0,0
/global/archives/12220,United Kingdom,2,2,1,2,15,8,0,0
/global/archives/12274/skee,South Korea,2,2,2,1,6,10,0,0
/global/archives/12306,South Korea,2,3,2,1,2.5,8,0,0
/global/archives/12692,South Korea,2,2,2,1,35.5,10,0,0
/global/archives/12891,South Korea,2,3,2,1,0.5,8,0,0
/global/archives/12950,Netherlands,2,2,2,1,4,5,0,0
/global/archives/13103,United States,2,2,2,1,43.5,7,0,0
/global/archives/13130,Switzerland,2,2,1,2,15,9,0,0
/global/archives/13184,China,2,1,1,2,34,10,0,0
/global/archives/13521,Germany,2,3,2,1,4.5,10,0,0
/global/archives/13595,Hungary,2,1,1,2,0,7,0,0
/global/archives/13748,United Kingdom,2,1,1,2,541,7,0,0
/global/archives/13780,United Kingdom,2,3,2,1,0.5,10,0,0
/global/archives/13780,United States,2,2,2,1,49.5,9,0,0
/global/archives/14193,South Korea,2,3,2,1,0,8,0,0
/global/archives/14226,Germany,2,3,2,1,12.5,11,0,0
/global/archives/14226,South Korea,2,3,2,1,3.5,10,0,0
/global/archives/14766,South Korea,2,2,2,1,20.5,8,0,0
/global/archives/1493,United States,2,2,2,1,62,8,0,0
/global/archives/15067,South Korea,2,2,2,1,1,6,0,0
/global/archives/15103,United States,2,1,1,2,36,10,0,0
/global/archives/15259,Japan,2,3,2,1,0,9,0,0
/global/archives/15374,Saudi Arabia,2,2,2,1,47.5,9,0,0
/global/archives/15462,Malaysia,2,2,1,2,162,9,0,0
/global/archives/15654,Vietnam,2,1,1,2,44,6,0,0
/global/archives/15687,South Korea,2,3,3,0.6666666666666666,18.666666666666668,9,0,0
/global/archives/15760,Thailand,2,1,1,2,16,8,0,0
/global/archives/15937,South Korea,2,1,1,2,5,6,0,0
/global/archives/16060,Hong Kong,2,2,2,1,1,8,0,0
/global/archives/16060,Japan,2,4,2,1,26,8,0,0
/global/archives/16154,India,2,3,1,2,0,8,0,0
/global/archives/16154,South Korea,2,3,2,1,7,12,0,0
/global/archives/16376,India,2,2,0,0,0,6,0,0
/global/archives/16448,Singapore,2,2,1,2,118,8,0,0
/global/archives/16463,Hong Kong,2,2,2,1,40.5,7,0,0
/global/archives/16463,Japan,2,1,1,2,39,8,0,0
/global/archives/16532,Singapore,2,3,2,1,139,11,0,0
/global/archives/16532,Thailand,2,2,1,2,0,9,0,0
/global/archives/16939,China,2,1,1,2,3,5,0,0
/global/archives/17022,United Kingdom,2,2,2,1,0,8,0,0
/global/archives/17047,Indonesia,2,1,1,2,88,10,0,0
/global/archives/17169,China,2,3,2,1,18.5,9,0,0
/global/archives/17169,South Korea,2,2,2,1,18.5,8,0,0
/global/archives/17216,Japan,2,2,2,1,28.5,10,0,0
/global/archives/17216,United States,2,2,2,1,5.5,7,0,0
/global/archives/17313,Hong Kong,2,3,2,1,2,8,0,0
/global/archives/17313,South Korea,2,2,2,1,27,9,0,0
/global/archives/17356,Japan,2,2,1,2,179,8,0,0
/global/archives/17426,France,2,3,2,1,14,10,0,0
/global/archives/17426,Hong Kong,2,3,1,2,131,12,0,0
/global/archives/17426,Malaysia,2,1,1,2,965,8,0,0
/global/archives/17426,Peru,2,1,1,2,18,9,0,0
/global/archives/17426,Philippines,2,3,2,1,11.5,13,0,0
/global/archives/17426,Switzerland,2,2,1,2,102,9,0,0
/global/archives/17446,Netherlands,2,2,2,1,12.5,6,0,0
/global/archives/17446,Singapore,2,1,1,2,75,9,0,0
/global/archives/17460,India,2,2,2,1,18.5,11,0,0
/global/archives/17476,Australia,2,2,1,2,0,7,0,0
/global/archives/17514,Dominican Republic,2,2,1,2,166,9,0,0
/global/archives/17514,India,2,2,1,2,0,7,0,0
/global/archives/17569,Hong Kong,2,2,1,2,27,6,0,0
/global/archives/17595,Germany,2,2,2,1,5,9,0,0
/global/archives/17623,Malaysia,2,2,1,2,43,9,0,0
/global/archives/17796,South Korea,2,2,2,1,278,6,0,0
/global/archives/17817,Germany,2,2,2,1,25,11,0,0
/global/archives/17817,India,2,2,0,0,0,5,0,0
/global/archives/17817,Taiwan,2,3,2,1,14.5,11,0,0
/global/archives/17844,Singapore,2,2,1,2,26,9,0,0
/global/archives/17893,Singapore,2,2,1,2,68,9,0,0
/global/archives/17990,United States,2,1,1,2,36,7,0,0
/global/archives/18107,Australia,2,2,2,1,324,10,0,0
/global/archives/18107,Italy,2,2,1,2,151,8,0,0
/global/archives/18107,Netherlands,2,2,2,1,85.5,11,0,0
/global/archives/18107,Philippines,2,2,1,2,1329,8,0,0
/global/archives/18283,France,2,1,1,2,1,8,0,0
/global/archives/18301,United States,2,2,2,1,52,10,0,0
/global/archives/18332,Ukraine,2,1,1,2,48,9,0,0
/global/archives/18445,Philippines,2,1,1,2,71,10,0,0
/global/archives/18445,United States,2,1,1,2,27,8,0,0
/global/archives/18546,France,2,2,2,1,5,10,0,0
/global/archives/18546,United Kingdom,2,2,2,1,23.5,9,0,0
/global/archives/18546,Vietnam,2,2,1,2,4,8,0,0
/global/archives/18608,Vietnam,2,1,1,2,75,8,0,0
/global/archives/19078,United Kingdom,2,2,2,1,42,10,0,0
/global/archives/19149,Germany,2,2,2,1,0,6,0,0
/global/archives/19149,South Korea,2,2,2,1,24,7,0,0
/global/archives/19179,United States,2,2,2,1,26,9,0,0
/global/archives/19230,Germany,2,1,1,2,79,8,0,0
/global/archives/19230,Pakistan,2,1,1,2,31,8,0,0
/global/archives/19230,Singapore,2,1,1,2,14,6,0,0
/global/archives/19328,Mexico,2,2,1,2,0,6,0,0
/global/archives/19349,Germany,2,2,2,1,29.5,7,0,0
/global/archives/19349,Singapore,2,3,2,1,5,9,0,0
/global/archives/19393,Argentina,2,1,1,2,0,6,0,0
